precio,uva,dia,mes,ano,decena_1,decena_2,decena_3,tri_1,tri_2,tri_3,tri_4
955,463.0,2,1,24,1,0,0,1,0,0,0
1205,525.0,24,1,24,0,0,1,1,0,0,0
1165,561.0,1,2,24,1,0,0,1,0,0,0
1020,680.0,1,3,24,1,0,0,1,0,0,0
975,716.0,11,3,24,0,1,0,1,0,0,0
1000,744.0,15,3,24,0,1,0,1,0,0,0
1000,761.0,20,3,24,0,1,0,1,0,0,0
990,770.0,25,3,24,0,0,1,1,0,0,0
975,786.0,3,4,24,1,0,0,0,1,0,0
970,828.0,10,4,24,1,0,0,0,1,0,0
1005,860.0,22,4,24,0,0,1,0,1,0,0
1025,875.0,25,4,24,0,0,1,0,1,0,0
1010,890.0,30,4,24,0,0,1,0,1,0,0
1010,894.0,2,5,24,1,0,0,0,1,0,0
1010,916.0,8,5,24,1,0,0,0,1,0,0
1010,922.0,10,5,24,1,0,0,0,1,0,0
1070,938.0,15,5,24,0,1,0,0,1,0,0
1150,947.0,20,5,24,0,1,0,0,1,0,0
1260,962.0,24,5,24,0,0,1,0,1,0,0
1200,965.0,25,5,24,0,0,1,0,1,0,0
1200,965.0,26,5,24,0,0,1,0,1,0,0
1200,965.0,27,5,24,0,0,1,0,1,0,0
1185,973.0,28,5,24,0,0,1,0,1,0,0
1210,975.0,29,5,24,0,0,1,0,1,0,0
1210,978.0,30,5,24,0,0,1,0,1,0,0
1210,981.0,31,5,24,0,0,1,0,1,0,0
1205,983.0,1,6,24,1,0,0,0,1,0,0
1205,983.0,2,6,24,1,0,0,0,1,0,0
1205,983.0,3,6,24,1,0,0,0,1,0,0
1215,991.0,4,6,24,1,0,0,0,1,0,0
1245,994.0,5,6,24,1,0,0,0,1,0,0
1230,997.0,6,6,24,1,0,0,0,1,0,0
1245,999.0,7,6,24,1,0,0,0,1,0,0
1245,1002.0,8,6,24,1,0,0,0,1,0,0
1245,1002.0,9,6,24,1,0,0,0,1,0,0
1245,1002.0,10,6,24,1,0,0,0,1,0,0
1260,1010.0,11,6,24,0,1,0,0,1,0,0
1225,1013.0,12,6,24,0,1,0,0,1,0,0
1225,1016.0,13,6,24,0,1,0,0,1,0,0
1225,1019.0,14,6,24,0,1,0,0,1,0,0
1260,1021.0,15,6,24,0,1,0,0,1,0,0
1260,1021.0,16,6,24,0,1,0,0,1,0,0
1260,1021.0,17,6,24,0,1,0,0,1,0,0
1260,1021.0,18,6,24,0,1,0,0,1,0,0
1285,1028.0,19,6,24,0,1,0,0,1,0,0
1280,1030.0,20,6,24,0,1,0,0,1,0,0
1280,1030.0,21,6,24,0,0,1,0,1,0,0
1280,1030.0,22,6,24,0,0,1,0,1,0,0
1280,1029.95,23,6,24,0,0,1,0,1,0,0
1310,1029.95,24,6,24,0,0,1,0,1,0,0
1345,1038.46,26,6,24,0,0,1,0,1,0,0
1345,1039.88,27,6,24,0,0,1,0,1,0,0
1335,1041.31,28,6,24,0,0,1,0,1,0,0
1345,1042.74,29,6,24,0,0,1,0,1,0,0
1345,1042.74,30,6,24,0,0,1,0,1,0,0
1345,1042.74,1,7,24,1,0,0,0,0,1,0
1385,1047.04,2,7,24,1,0,0,0,0,1,0
1410,1048.47,3,7,24,1,0,0,0,0,1,0
1385,1049.91,4,7,24,1,0,0,0,0,1,0
1385,1051.35,5,7,24,1,0,0,0,0,1,0
1400,1052.8,6,7,24,1,0,0,0,0,1,0
1400,1052.8,7,7,24,1,0,0,0,0,1,0
1420,1052.8,8,7,24,1,0,0,0,0,1,0
1420,1057.14,9,7,24,1,0,0,0,0,1,0
1420,1057.14,10,7,24,1,0,0,0,0,1,0
1430,1060.04,11,7,24,0,1,0,0,0,1,0
1445,1061.5,12,7,24,0,1,0,0,0,1,0
1480,1062.95,13,7,24,0,1,0,0,0,1,0
1480,1062.95,14,7,24,0,1,0,0,0,1,0
1480,1062.95,15,7,24,0,1,0,0,0,1,0
1395,1067.33,16,7,24,0,1,0,0,0,1,0
1435,1068.88,17,7,24,0,1,0,0,0,1,0
1435,1070.44,18,7,24,0,1,0,0,0,1,0
1435,1071.99,19,7,24,0,1,0,0,0,1,0
1425,1073.55,20,7,24,0,1,0,0,0,1,0
1425,1073.55,21,7,24,0,0,1,0,0,1,0
1425,1073.55,22,7,24,0,0,1,0,0,1,0
1425,1078.23,23,7,24,0,0,1,0,0,1,0
1435,1079.79,24,7,24,0,0,1,0,0,1,0
1420,1081.36,25,7,24,0,0,1,0,0,1,0
1425,1082.93,26,7,24,0,0,1,0,0,1,0
1415,1084.5,27,7,24,0,0,1,0,0,1,0
1415,1084.5,28,7,24,0,0,1,0,0,1,0
1415,1084.5,29,7,24,0,0,1,0,0,1,0
1395,1089.23,30,7,24,0,0,1,0,0,1,0
1365,1090.82,31,7,24,0,0,1,0,0,1,0
1350,1092.4,1,8,24,1,0,0,0,0,1,0
1360,1093.98,2,8,24,1,0,0,0,0,1,0
1375,1095.57,3,8,24,1,0,0,0,0,1,0
1375,1095.57,4,8,24,1,0,0,0,0,1,0
1375,1095.57,5,8,24,1,0,0,0,0,1,0
1370,1100.35,6,8,24,1,0,0,0,0,1,0
1365,1103.55,8,8,24,1,0,0,0,0,1,0
1355,1105.15,9,8,24,1,0,0,0,0,1,0
1335,1106.76,10,8,24,1,0,0,0,0,1,0
1335,1106.76,11,8,24,0,1,0,0,0,1,0
1330,1106.76,12,8,24,0,1,0,0,0,1,0
1335,1111.58,13,8,24,0,1,0,0,0,1,0
1335,1113.2,14,8,24,0,1,0,0,0,1,0
1335,1114.81,15,8,24,0,1,0,0,0,1,0
1330,1116.43,16,8,24,0,1,0,0,0,1,0
1325,1117.84,17,8,24,0,1,0,0,0,1,0
1325,1117.84,18,8,24,0,1,0,0,0,1,0
1325,1117.84,19,8,24,0,1,0,0,0,1,0
1330,1122.1,20,8,24,0,1,0,0,0,1,0
1340,1123.52,21,8,24,0,0,1,0,0,1,0
1335,1124.94,22,8,24,0,0,1,0,0,1,0
1330,1126.36,23,8,24,0,0,1,0,0,1,0
1330,1127.79,24,8,24,0,0,1,0,0,1,0
1330,1127.79,25,8,24,0,0,1,0,0,1,0
1330,1127.79,26,8,24,0,0,1,0,0,1,0
1330,1132.08,27,8,24,0,0,1,0,0,1,0
1320,1133.51,28,8,24,0,0,1,0,0,1,0
1315,1134.95,29,8,24,0,0,1,0,0,1,0
1295,1136.38,30,8,24,0,0,1,0,0,1,0
1285,1137.82,31,8,24,0,0,1,0,0,1,0
1285,1137.82,1,9,24,1,0,0,0,0,1,0
1285,1137.82,2,9,24,1,0,0,0,0,1,0
1285,1142.15,3,9,24,1,0,0,0,0,1,0
1290,1143.59,4,9,24,1,0,0,0,0,1,0
1285,1145.04,5,9,24,1,0,0,0,0,1,0
1245,1146.49,6,9,24,1,0,0,0,0,1,0
1240,1147.94,7,9,24,1,0,0,0,0,1,0
1240,1147.94,8,9,24,1,0,0,0,0,1,0
1240,1147.94,9,9,24,1,0,0,0,0,1,0
1250,1152.31,10,9,24,1,0,0,0,0,1,0
1260,1153.77,11,9,24,0,1,0,0,0,1,0
1265,1155.23,12,9,24,0,1,0,0,0,1,0
1260,1156.69,13,9,24,0,1,0,0,0,1,0
1245,1158.15,14,9,24,0,1,0,0,0,1,0
1245,1158.15,15,9,24,0,1,0,0,0,1,0
1255,1162.68,17,9,24,0,1,0,0,0,1,0
1240,1164.28,18,9,24,0,1,0,0,0,1,0
1240,1165.88,19,9,24,0,1,0,0,0,1,0
1220,1167.48,20,9,24,0,1,0,0,0,1,0
1225,1169.08,21,9,24,0,0,1,0,0,1,0
1225,1169.08,22,9,24,0,0,1,0,0,1,0
